Year,Period,Week Ending,State,State ANSI,Watershed,Data Item,Value,CV (%)
2015,JAN THRU MAR,NA,NEBRASKA,31,NA,ADDED & REPLACED,120,NA
2015,JAN THRU MAR,NA,NEW JERSEY,34,NA,ADDED & REPLACED,570,NA
2015,JAN THRU MAR,NA,NEW MEXICO,35,NA,ADDED & REPLACED,190,NA
2015,JAN THRU MAR,NA,NEW YORK,36,NA,ADDED & REPLACED,430,NA
2015,JAN THRU MAR,NA,NORTH CAROLINA,37,NA,ADDED & REPLACED,6000,NA
2015,JAN THRU MAR,NA,NORTH DAKOTA,38,NA,ADDED & REPLACED,1800,NA
2015,JAN THRU MAR,NA,OHIO,39,NA,ADDED & REPLACED,5000,NA
2015,JAN THRU MAR,NA,OKLAHOMA,40,NA,ADDED & REPLACED,2600,NA
2015,JAN THRU MAR,NA,OREGON,41,NA,ADDED & REPLACED,4300,NA
2015,JAN THRU MAR,NA,PENNSYLVANIA,42,NA,ADDED & REPLACED,360,NA
